SEGNAME,STORET ID,StudyName,Station comments,ColDateTime,SampleType,SampleID,Analyte name,Calculated concentration,Units,Dilution Factor,Procedure code,Less than,Qualifier codes,Sample detection limit,Sigma,MDL,MLQ,PQL,Notes,Validation Code,Validation Code Comments,Lab ID,pH,EC,temperature,DO,DOsat,turbidity,Salinity,Sample Medium,Collection Method,Sample Type
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Bacteria (E. coli),2421411,E. Coli,1.0000,/100ml,0,SM 9221F,TRUE,,1,0,0,0,,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Silver,0.0010,mg/L,1,200.8,TRUE,,0.001,0,9E-05,0.00028,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Nutrients (total),2421408,"Phosphorus, Total",0.0700,mG/L,1,365.4,FALSE,,0.029999999,0,0.013,0.0132,0.029999999,,,,,8.229999542,400,8.180000305,8.029999733,94.69999695,1.899999976,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Cobalt,0.0010,mg/L,1,200.8,TRUE,,0.001,0,7E-05,0.00023,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Copper,0.0100,mg/L,1,200.8,TRUE,,0.01,0,0.00119,0.00372,0.01,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Lead,0.0010,mg/L,1,200.8,TRUE,,0.001,0,0.00012,0.00039,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Manganese,0.0290,mg/L,1,200.8,FALSE,,0.001,0,1E-04,0.00033,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Mercury,0.0002,mg/L,1,245.1,TRUE,,0.0002,0,3E-05,9E-05,0.0002,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Molybdenum,0.0010,mg/L,1,200.8,TRUE,,0.001,0,0.00012,0.00037,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Cadmium,0.0010,mg/L,1,200.8,TRUE,,0.001,0,1E-04,0.00031,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Selenium,0.0050,mg/L,1,200.9,TRUE,,0.005,0,0.00071,0.00227,0.005,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Boron,0.1000,mg/L,1,200.7,TRUE,,0.100000001,0,0.00188,0.00591,0.100000001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Uranium-234/235/238,0.0010,mg/L,1,200.8,TRUE,,0.001,0,8E-05,0.00025,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Zinc,0.0100,mg/L,1,200.8,TRUE,,0.01,0,0.00089,0.00279,0.01,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (Hg/Se),2421409,Mercury,0.0002,mg/L,1,245.1,TRUE,,0.0002,0,0,1E-04,0.0002,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (Hg/Se),2421409,Selenium,0.0050,mg/L,1,200.9,TRUE,,0.005,0,0.0007,0.0023,0.005,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Nutrients (total),2421408,Ammonia,0.1000,mG/L,1,350.1,TRUE,,0.100000001,0,0.100000001,0.101300001,0.100000001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Nutrients (total),2421408,Nitrate + Nitrite (N),0.1000,mG/L,1,353.2,TRUE,,0.100000001,0,0.0107,0.0108,0.100000001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Nickel,0.0100,mg/L,1,200.8,TRUE,,0.01,0,0.0003,0.00094,0.01,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Sodium,3.9500,mG/L,1,200.7,FALSE,,1,0,0.365999997,0.370700002,1,,,,,8.210000038,166,7.269999981,8.699999809,100.3000031,5.5,0.079999998,Water,Grab,Ambient
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Alkalinity,82.1000,mG/L,1,SM 2320 B,FALSE,,2.5,0,1.600000024,1.620399952,2.5,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Bicarbonate,100.0000,mG/L,1,SM 4500H+ B,FALSE,,3,0,1.600000024,1.620399952,3,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Calcium,26.0000,mG/L,1,200.7,FALSE,,1,0,0.024,0.0243,1,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Carbonate,0.0000,mG/L,1,SM 4500H+ B,FALSE,,0,0,1.600000024,1.620399952,,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Chloride,10.0000,mG/L,1,300.0,TRUE,,10,0,0.020300001,0.0206,10,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Fluoride,0.2020,mG/L,1,4500F-C,FALSE,,0.100000001,0,0.0095,0.0096,0.100000001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Hardness,89.1000,mG/L CaCO3,1,200.7,FALSE,,6.599999905,0,0.024,0.0243,6.599999905,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Chromium,0.0050,mg/L,1,200.8,FALSE,A,0.001,0,0.00014,0.00045,0.001,,,,,7.949999809,185,3.480000019,8.989999771,94,18.79999924,0.090000004,Water,Grab,Ambient
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Potassium,1.1300,mG/L,1,200.7,FALSE,,1,0,0.067000002,0.067900002,1,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Vanadium,0.0010,mg/L,1,200.8,TRUE,,0.001,0,7E-05,0.00021,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Sulfate,11.4000,mG/L,1,300.0,FALSE,,10,0,0.035700001,0.036200002,10,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Total Dissolved Solids,158.0000,mG/L,1,SM2540 C,FALSE,,10,0,0.479999989,0.486099988,10,,,,,8.229999542,400,8.180000305,8.029999733,94.69999695,1.899999976,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Ions (full suite),2421407,Total Suspended Solids,19.0000,mG/L,1,SM2540 D,FALSE,,3,0,12.55690002,12.71679974,3,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Aluminum,0.3900,mg/L,1,200.8,FALSE,,0.01,0,0.00093,0.00292,0.01,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Antimony,0.0010,mg/L,1,200.8,TRUE,,0.001,0,0.00028,0.00087,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Arsenic,0.0010,mg/L,1,200.8,TRUE,,0.001,0,0.0002,0.00064,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Barium,0.1000,mg/L,1,200.8,TRUE,,0.100000001,0,0.00093,0.00292,0.100000001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
Rio Fernando de Taos (Tienditas Creek to headwaters),28RFerna031.7,Upper Rio Grande (2009) -- VV but not STORET,Rio Fernando de Taos at Hwy 64 bridge - 28RFerna031.7,3/19/2009,Metals (dissolved),2421410,Beryllium,0.0010,mg/L,1,200.8,TRUE,,0.001,0,0.0002,0.00064,0.001,,,,,8.140000343,392,13.60000038,7.230000019,90.19999695,9.199999809,0.189999998,Ambient,Grab,Water
