SEGNAME,STORET ID,StudyName,Station comments,ColDateTime,SampleType,SampleID,Analyte name,Calculated concentration,Units,Dilution Factor,Procedure code,Less than,Qualifier codes,Sample detection limit,Sigma,MDL,MLQ,PQL,Notes,Validation Code,Validation Code Comments,Lab ID,pH,EC,temperature,DO,DOsat,turbidity,Salinity,Sample Medium,Collection Method,Sample Type
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Boron,0.100000001,mg/L,1,200.7,TRUE,,0.100000001,0,0.00188,0.00591,0.100000001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Antimony,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,0.00028,0.00087,0.001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Arsenic,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,0.0002,0.00064,0.001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Barium,0.100000001,mg/L,1,200.8,TRUE,C H,0.100000001,0,0.00093,0.00292,0.100000001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Chromium,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,0.00014,0.00045,0.001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Manganese,0.034000002,mg/L,1,200.8,FALSE,H,0.001,0,1E-04,0.00033,0.001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Cobalt,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,7E-05,0.00023,0.001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Cadmium,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,1E-04,0.00031,0.001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Lead,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,0.00012,0.00039,0.001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Copper,0.01,mg/L,1,200.8,TRUE,C H,0.01,0,0.00119,0.00372,0.01,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Beryllium,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,0.0002,0.00064,0.001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Aluminum,0.01,mg/L,1,200.8,FALSE,C H,0.01,0,0.00093,0.00292,0.01,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Total Suspended Solids,24,mG/L,1,SM2540 D,FALSE,,3,0,12.55690002,12.71679974,3,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Total Dissolved Solids,210,mG/L,1,SM2540 C,FALSE,,10,0,0.479999989,0.486099988,10,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Sulfate,24.10000038,mG/L,1,300.0,FALSE,,10,0,0.035700001,0.036200002,10,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Potassium,1,mG/L,1,200.7,FALSE,,1,0,0.067000002,0.067900002,1,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Magnesium,8.279999733,mG/L,1,200.7,FALSE,,1,0,0.02,0.020300001,1,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Hardness,158,mG/L CaCO3,1,200.7,FALSE,,6.599999905,0,0.024,0.0243,6.599999905,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Calcium,49.59999847,mG/L,1,200.7,FALSE,,1,0,0.024,0.0243,1,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Metals (dissolved),2425481,Mercury,0.0002,mg/L,1,245.1,TRUE,,0.0002,0,4E-05,0.00012,0.0002,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Carbonate,0.815999985,mG/L,1,SM 4500H+ B,FALSE,,0,0,1.600000024,1.620399952,,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,6/17/2009,Nutrients (total),2425359,"Phosphorus, Total",0.009,mG/L,1,365.1,FALSE,,0.003,0,0.013,0.0132,0.003,,,,SLD,8.109999657,623,13.52000046,8.699999809,108.3000031,4.400000095,0.300000012,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Chloride,10,mG/L,1,300.0,FALSE,,10,0,0.020300001,0.0206,10,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Ions (full suite),2425478,Sodium,10.19999981,mG/L,1,200.7,FALSE,,1,0,0.365999997,0.370700002,1,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,5/19/2009,Nutrients (total),2425479,Nitrate + Nitrite (N),0.100000001,mG/L,1,353.2,FALSE,,0.100000001,0,0.0107,0.0108,0.100000001,,,,,8.31000042,332,12.96000004,8.93999958,108.8000031,11.80000019,0.159999996,Water,Grab,Ambient
Rio Grande del Rancho (Rio Pueblo de Taos to HWY 518),28RGRanc000.2,Upper Rio Grande (2009) -- VV but not STORET,Rio Grande del Rancho abv Rio Pueblo de Taos - 28RGRanc000.2,7/14/2009,Ions (full suite),2425595,Chloride,10,mG/L,1,300,FALSE,,10,0,0.020300001,0.0206,10,,,,,8.279999733,686,26.10000038,8.31000042,133.6999969,1.200000048,0.330000013,Ambient,Grab,Water
