SEGNAME,STORET ID,StudyName,Station comments,ColDateTime,SampleType,SampleID,Analyte name,Calculated concentration,Units,Dilution Factor,Procedure code,Less than,Qualifier codes,Sample detection limit,Sigma,MDL,MLQ,PQL,Notes,Validation Code,Validation Code Comments,Lab ID,pH,EC,temperature,DO,DOsat,turbidity,Salinity,Sample Medium,Collection Method,Sample Type
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Bacteria (E. coli),2421444,E. Coli,0,/100ml,0,SM 9221F,FALSE,,1.000,0,0,0,,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Metals (Hg/Se),2421422,Mercury,0.0002,mg/L,1,245.1,TRUE,C H,0.000,0,4E-05,0.00012,0.0002,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Metals (dissolved),2421423,Lead,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,0.00012,0.00039,0.001,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Metals (dissolved),2421423,Manganese,0.030999999,mg/L,1,200.8,FALSE,C H,0.001,0,1E-04,0.00033,0.001,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Metals (dissolved),2421423,Mercury,0.0002,mg/L,1,245.1,TRUE,,0.000,0,4E-05,0.00012,0.0002,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Metals (dissolved),2421423,Molybdenum,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,0.00012,0.00037,0.001,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Metals (dissolved),2421423,Nickel,0.01,mg/L,1,200.8,TRUE,C H,0.010,0,0.0003,0.00094,0.01,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Metals (dissolved),2421423,Selenium,0.005,mg/L,1,200.9,TRUE,,0.005,0,0.00071,0.00227,0.005,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Metals (dissolved),2421423,Silver,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,9E-05,0.00028,0.001,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
Rio Pueblo de Taos (Arroyo del Alamo to R Grande del Rancho),28RPuebT008.1,Upper Rio Grande (2009) -- VV but not STORET,Rio Pueblo de Taos 20m below Taos effluent channel - 28RPuebT008.1,3/24/2009,Metals (dissolved),2421423,Thallium,0.001,mg/L,1,200.8,TRUE,C H,0.001,0,6E-05,0.0002,0.001,Staff plate = 6.6 at gage.,,,,8.260000229,312,3.3,11.15999985,109,18.80,0.15,Water,Grab,Ambient
